user_id,first_name,last_name,email,password_hash,phone_number,location_lat,location_lng,user_type,rating,availability_status,total_earnings,preferred_gig_type
1,Unnati,Mander,ranveer29@example.com,$2b$12$j7cv2BtAWh4EfxznBBAYP.SbIGiYTFtd8gJ8kAlmmbaVXxrDk/il2,5881881723,19.34750393087598,72.97401913509663,Delivery,1.5,Offline,22134.11,Delivery
2,Daksh,Saraf,falakreddy@example.org,$2b$12$YwbTrKs5PjKOcgQX4RRgcO2qX9lu58ma6km7vT8zVIc8BQKS4u0FC,+913159499275,19.03121200885174,72.7238973594946,Freelancer,4.3,Available,2798.68,Driving
3,Irya,Dass,urishillabhasin@example.net,$2b$12$ftNRC3yQRcUvvdrBXMHBIOfYYJ3.rXeiU7L9j8UeuyPRoWWGsRug6,+915986001268,19.43472363465273,72.73861008135972,Freelancer,3.3,Busy,93751.64,Driving
4,Ekapad,Ahuja,shenoyatharv@example.org,$2b$12$Ae/ydbHJIScbHa/WuDJdnO71.X7u3HcEC9Lv/X06qPv8bLdvSAKG.,3943199549,18.970857317366693,72.81845534987777,Freelancer,3.6,Available,73066.33,Driving
5,Guneet,Bandi,kavyamohanty@example.net,$2b$12$bArx7vIFwkDiSqJqftGpye0DUTJ8ROdC4RSBLtDaTMPL6hkh.v/92,2522105821,18.6485376688944,72.71760213595037,Delivery,3.3,Busy,11736.69,Freelance
6,Vedhika,Bal,lohit81@example.net,$2b$12$hXI22Bb.jO79eATjwobeFecGOUAA47PbvO2ZbJl5TQCr9lIv1zPeu,+919561445269,18.906909147435336,72.839463542316,Driver,3.6,Offline,7571.08,Freelance
7,Fitan,Bajaj,ivohra@example.org,$2b$12$8vm5H1CmQ9lHSpKOPc0zK.8mmnZxecm8WDpQKdhA9Znm/xU3tDbHC,00112050237,18.897372268946675,72.71664023791772,Driver,4.2,Offline,5780.05,Delivery
8,Anusha,Kibe,tvarghese@example.com,$2b$12$GTwwLa/AiQtQ9UuB9Ny/y.aJHej.PR/gEQXmj6H85oG57bC8Qh91y,7248513769,19.33948772232129,72.82185521293438,Delivery,1.5,Offline,25195.77,Freelance
9,Sachi,Patel,akshay56@example.net,$2b$12$blczrGIVfQo..p5L5CQAVe0JKj2rXwpkCMhWVeS2RIVEFF0jz.BJ.,+912828122902,19.1192784772979,72.98709990554164,Freelancer,2.0,Offline,64040.14,Driving
10,Raghav,Chanda,gbaral@example.org,$2b$12$1Jm5SRJIj0iZU1nRJM.h0.JSNv/uhvzv5ZQBXAqtynwMUjzDp5cr.,+910514539013,19.24435129847884,72.75779562061624,Delivery,3.9,Available,7536.0,Driving
